simpleName,repList,,count,samID,newsamID,comments,latitude,longitude,uniqIDnowuseless,DisplayName
austinscolony,austin's colony,,6,870,870,now Texas,31.9686,-99.9018,870,Austin's Colony
augusta|augustas,augusta|augusta's,,9,871|1672,871,"Augusta, Maine; Augusta, Georgia; others|Augusta, Maine; Augusta, Georgia; others",NA,NA,871|1672,Augusta
attica,attica|attica;,,6,872,872,"Athens, Greece",37.96666667,23.71666667,872,Attica
arundel,arundel,,6,874,874,Town in England,50.85439,-0.5539,874,Arundel
arun|aruna|aruns,arun|aruna|arun's,,14,875|1675|1043,875,"river in West Sussex, England|river in West Sussex, England|river in West Sussex, England",50.80138889,-0.541944444,875|1675|1043,Arun
andover,andover,,6,876,876,town in Massachusetts,42.65833333,-71.1375,876,Andover
andalusia|andalusias,andalusia|andalusia's,,9,877|1685,877,|,37.38333333,-5.983333333,877|1685,Andalusia
windsorforest|windsors,windsor forest|windsor's,,7,879|1718,879,|,51.43916667,-0.624722222,879|1718,Windsor Forest
westpoint,west-point|west point,,5,880,880,,41.393,-73.958,880,West-Point
wertenberg|wertenberge,wertenberg|wertenberge,,8,1284|881,881,|,48.78333333,9.183333333,1284|881,Wertenberg
wells,wells,,5,882,882,,43.32027778,-70.61166667,882,Wells
waldens,walden's,,5,883,883,,52.022,0.243,883,Walden
valois,valois,,5,884,884,,49.2358,2.89,884,Valois
ulster,ulster,,5,885,885,,41.89,-74.26,885,Ulster
tygris,tygris|tygris',,5,886,886,,38.43333333,39.77277778,886,Tygris
tunis,tunis|tunis',,5,888,888,,36.80638889,10.18166667,888,Tunis
tripoly,tripoly,,5,889,889,,34.43333333,35.85,889,Tripoly
trinidad,trinidad,,5,890,890,,10.46055556,-61.24861111,890,Trinidad
trani,trani,,5,891,891,,41.26666667,16.41666667,891,Trani
thunderland,thunderland,,5,892,892,fictional place,NA,NA,892,Thunderland
thermopylae,thermopylae,,5,893,893,,38.80527778,22.56277778,893,Thermopylae
templebar,temple-bar|temple bar|temple- bar,,5,894,894,,51.51361111,-0.111944444,894,Temple-Bar
tartarus,tartarus,,5,895,895,mythical place,NA,NA,895,Tartarus
tarsus,tarsus,,5,896,896,,36.91666667,34.89555556,896,Tarsus
swansey,swansey,,5,897,897,,41.74805556,-71.19027778,897,Swansey
strombolli,strombolli,,5,898,898,,38.79388889,15.21111111,898,Strombolli
strasburg,strasburg,,5,899,899,,53.5,13.75,899,Strasburg
sthelena,st. helena,,5,900,900,,-15.95,-5.716666667,900,St. Helena
stgermains,st. germains|st. ger mains,,5,901,901,,50.396,-4.31,901,St. Germains
stchristophers,st. christophers|st christophers|st. christopher's,,5,902,902,,17.25,-62.66666667,902,St. Christophers
stcharles,st. charles,,5,903,903,,46.842,-71.342,903,St. Charles
stafford,stafford,,5,904,904,,52.83333333,-2,904,Stafford
springfield,springfield,,5,905,905,,40.69789722,-74.33451944,905,Springfield
southwark|southwarke,southwark|south wark|southwarke,,7,906|1839,906,|,51.4988,-0.0901,906|1839,Southwark
southwales,south wales,,5,907,907,,51.68333333,-3.383333333,907,South Wales
sio,sio,,5,908,908,unable to identify,NA,NA,908,Sio
shwaydoung,shway doung,,5,909,909,,18.29436111,95.34413889,909,Shway Doung
shinar,shinar,,5,910,910,biblical place,NA,NA,910,Shinar
sestos,sestos,,5,911,911,,40.21666667,26.38333333,911,Sestos
serampore,serampore,,5,912,912,,22.75,88.34,912,Serampore
scituate,scituate,,5,913,913,,42.19583333,-70.72638889,913,Scituate
saugus,saugus,,5,914,914,,42.46472222,-71.01055556,914,Saugus
saturn,saturn,,5,915,915,not a place,NA,NA,915,Saturn
saragossas,saragossa's,,5,916,916,,41.65,-0.883333333,916,Saragossa
sansaba,san saba,,5,917,917,,31.19527778,-98.725,917,San Saba
salency,salency,,5,918,918,,49.5886,3.0511,918,Salency
ross,ross,,5,920,920,,51.914,-2.587,920,Ross
rochefort,rochefort,,5,922,922,,45.94741667,-0.972611111,922,Rochefort
